question,category
"Before 1 April 2017, will any NATO member other than Turkey announce the establishment of a no-fly zone over any part of Syria?",Politics & Governance
"In Dalmazzi v. United States, will the Supreme Court rule that Judge Martin Mitchell was disqualified to rule on Nicole Dalmazzi's appeal before the Air Force Court of Criminal Appeals?",Politics & Governance
Will Ruth Bader Ginsburg cease to be an Associate Justice of the U.S. Supreme Court before 1 January 2020?,Politics & Governance
Will negotiations on the Regional Comprehensive Economic Partnership (RCEP) be completed before 1 January 2016?,Economics & Business
"In Timbs v. Indiana, will the Supreme Court rule that the Excessive Fines Clause of the Eighth Amendment applies to states?",Politics & Governance
"Between 1 October 2018 and 30 September 2019, will an armed group from Bangladesh engage in a campaign that systematically kills 1,000 or more civilians in Bangladesh?",Politics & Governance
"Between 1 July 2017 and 30 June 2018, will an armed group from the Philippines engage in a campaign that systematically kills 1,000 or more civilians in the Philippines?",Security & Defenses
"Between 1 July 2017 and 30 June 2018, will an armed group from Turkey engage in a campaign that systematically kills 1,000 or more civilians in Turkey?",Politics & Governance
"Between 1 January 2018 and 31 December 2018, will an armed group from Mali engage in a campaign that systematically kills 1,000 or more civilians in Mali?",Security & Defenses
Will the IAEA verify that Iran's uranium stockpile has been reduced to less than 300 kg of low-enriched uranium before 1 June 2016?,Politics & Governance
"Between 29 November 2017 and 29 December 2017, will Libya's Sharara oil field experience a production shutdown?",Economics & Business
"Between 1 April 2018 and 31 March 2019, will an armed group from Ethiopia engage in a campaign that systematically kills 1,000 or more civilians in Ethiopia?",Politics & Governance
"Between 1 January 2019 and 31 December 2019, will an armed group from Ethiopia engage in a campaign that systematically kills 1,000 or more civilians in Ethiopia?",Politics & Governance
"In Gundy v. United States, will the Supreme Court rule that Congress' delegation of authority to the attorney general in the federal Sex Offender Registration and Notification Act (SORNA) violates the nondelegation doctrine?",Politics & Governance
"Between 1 October 2017 and 30 September 2018, will an armed group from Nigeria engage in a campaign that systematically kills 1,000 or more civilians in Nigeria?",Security & Defenses
"Between 1 April 2018 and 31 March 2019, will an armed group from Burundi engage in a campaign that systematically kills 1,000 or more civilians in Burundi?",Politics & Governance
Will the closing spot price for a barrel of Brent crude oil dip below $20.00 before 1 May 2016?,Economics & Business
Will Malaysia impose capital controls before 1 October 2016?,Economics & Business
"Between 1 October 2018 and 30 September 2019, will an armed group from Burundi engage in a campaign that systematically kills 1,000 or more civilians in Burundi?",Politics & Governance
"Between 1 October 2017 and 30 September 2018, will an armed group from Zimbabwe engage in a campaign that systematically kills 1,000 or more civilians in Zimbabwe?",Politics & Governance
"Between 8 December 2017 and 1 January 2018, will there be a shutdown of the US federal government?",Politics & Governance
Will OPEC announce any changes to its production quota before 1 January 2016?,Economics & Business
"Before 1 January 2020, will Tesla release an Autopilot feature designed to navigate traffic lights?",Science & Tech
Will ACLED record any riot/protest events in Sierra Leone between 15 October 2017 and 31 October 2017?,Politics & Governance
Will a lethal confrontation involving national military forces of Saudi Arabia and Iran result in at least one fatality for either side in December 2017?,Security & Defenses
Will Facebook add warning labels to news stories before July 2017?,Economics & Business
Will the government of Afghanistan and the Afghan Taliban participate in official talks before 1 March 2017?,Politics & Governance
"Between 1 April 2017 and 31 March 2018, will an armed group from the Democratic Republic of Congo engage in a campaign that systematically kills 1,000 or more civilians in the Democratic Republic of Congo?",Security & Defenses
"Between 6 December and 31 December 2017, will there be an attack on the drone base near Agadez, Niger?",Security & Defenses
Will Alibaba's market capitalisation exceed Tencent's at any point between 23 November 2016 and 1 June 2017?,Economics & Business
"Between 1 July 2018 and 30 June 2019, will an armed group from Iraq engage in a campaign that systematically kills 1,000 or more civilians in Iraq?",Security & Defenses
"Between 1 January 2018 and 31 December 2018, will an armed group from the Democratic Republic of the Congo engage in a campaign that systematically kills 1,000 or more civilians in the Democratic Republic of the Congo?",Security & Defenses
Will there be any single day in December 2017 during which 15 or more Ukrainian military personnel are killed?,Security & Defenses
Will members of Sudan's military or paramilitary attempt to remove Omar al-Bashir as President of Sudan before 1 May 2017?,Politics & Governance
"Between 1 July 2018 and 30 June 2019, will an armed group from Afghanistan engage in a campaign that systematically kills 1,000 or more civilians in Afghanistan?",Security & Defenses
Will negotiations on the Transatlantic Trade and Investment Partnership (TTIP) be completed before 1 January 2017?,Economics & Business
"Before 1 October 2019, will the U.S. House of Representatives pass an article of impeachment against President Trump?",Politics & Governance
Will Moody's downgrade South Africa's government issuer rating to B or below before 1 April 2016?,Economics & Business
"Before 1 January 2019, will Scott Pruitt cease to be Administrator of the Environmental Protection Agency?",Politics & Governance
"Before 1 January 2018, will the Moroccan government and the Polisario Front participate in official negotiations over Western Sahara?",Politics & Governance
"Before 1 January 2018, will Transport for London (TfL) issue a license for Uber?",Economics & Business
"Before 1 October 2018, will the U.S. provide notice of intent to withdraw from NAFTA?",Politics & Governance
"Before 1 January 2019, will the US federal government ban the manufacture, importation, possession, or sale of bump stocks?",Politics & Governance
Will a Republican win the special election for Alabama's U.S. Senate seat?,Politics & Governance
"Before 2019, will the President, Vice President, White House Press Secretary, White House Chief of Staff, or Attorney General name a suspected author of the New York Times ""Resistance"" op-ed?",Politics & Governance
"Between 1 January 2019 and 31 December 2019, will an armed group from Iraq engage in a campaign that systematically kills 1,000 or more civilians in Iraq?",Politics & Governance
Will negotiations on the Regional Comprehensive Economic Partnership (RCEP) be completed in 2016?,Economics & Business
"Between 1 October 2018 and 30 September 2019, will an armed group from Myanmar engage in a campaign that systematically kills 1,000 or more civilians in Myanmar?",Politics & Governance
"In United States v. Microsoft Corp, will the Supreme Court rule that the government can use a warrant to compel the disclosure of records stored outside of the United States?",Politics & Governance
Will there be a lethal confrontation in the South or East China Sea region involving China's and another country's national military forces or law enforcement personnel before 1 January 2017?,Security & Defenses
"Will S&P, Moody's, or Fitch change Chile's long-term foreign currency rating before 29 June 2018?",Economics & Business
"Between 1 October 2017 and 30 September 2018, will an armed group from Bangladesh engage in a campaign that systematically kills 1,000 or more civilians in Bangladesh?",Security & Defenses
Will any NATO member invoke Article 4 in response to actions taken by Russia before 1 January 2017?,Politics & Governance
Will the expanded Panama Canal open to shipping before 15 May 2016?,Economics & Business
Will an unmanned aerial vehicle be used by a non-governmental or intra-governmental organization to deliver humanitarian aid to a conflict zone in 2017?,Security & Defenses
Will Senator Ron Johnson (R-WI) be re-elected this November?,Politics & Governance
"Before 1 October 2017, will one day of protests in Venezuela result in more than 25 fatalities?",Politics & Governance
"Before 1 October 2018, will Kim Jong-un cease to be supreme leader of North Korea?",Politics & Governance
"In Madison v. Alabama, will the Supreme Court rule that the State of Alabama may not execute Vernon Madison?",Politics & Governance
"In South Dakota v. Wayfair, Inc., will the Supreme Court rule that a state may impose sales taxes on retail sales by firms that do not have a physical presence in the state?",Politics & Governance
"Before 1 October 2018, will the water ministers of Egypt, Ethiopia, and Sudan meet to resume technical negotiations over the Renaissance Dam?",Politics & Governance
"In Gill v. Whitford, will the Supreme Court rule that any part of Wisconsin's redistricting plan is an unconstitutional partisan gerrymander?",Politics & Governance
Will China remove the HYSY 981 oil rig from disputed waters claimed by Vietnam before 1 April 2016?,Politics & Governance
Will the Iranian Parliament approve the Joint Comprehensive Plan of Action before 1 November 2015?,Politics & Governance
"Between 1 October 2017 and 30 September 2018, will an armed group from Iraq engage in a campaign that systematically kills 1,000 or more civilians in Iraq?",Security & Defenses
Will Iran execute and/or sponsor a low or higher level cyber attack against networks owned by a US entity between 19 September 2017 and 30 November 2017?,Security & Defenses
"Before 1 January 2017, will TIME magazine announce that they will no longer be publishing a weekly print edition in the US?",Economics & Business
Will the PITF Worldwide Atrocities Dataset record an event perpetrated by a state actor in Iraq (IRQ) that starts between 1 October 2017 and 31 October 2017?,Politics & Governance
Will the Export-Import Bank of the United States be re-authorized before 1 January 2016?,Economics & Business
Will a Spanish prime minister win a vote of confidence before 1 October 2016?,Politics & Governance
"Between 1 October 2017 and 30 September 2018, will an armed group from Afghanistan engage in a campaign that systematically kills 1,000 or more civilians in Afghanistan?",Security & Defenses
"Before 15 December 2018, will the House of Commons approve the Withdrawal Agreement of the United Kingdom from the European Union?",Politics & Governance
"Between 1 October 2017 and 30 September 2018, will an armed group from Turkey engage in a campaign that systematically kills 1,000 or more civilians in Turkey?",Politics & Governance
"Between 1 January 2019 and 31 December 2019, will an armed group from the Democratic Republic of the Congo engage in a campaign that systematically kills 1,000 or more civilians in the Democratic Republic of the Congo?",Security & Defenses
Will Claire McCaskill (D-MO) be re-elected this November?,Politics & Governance
"Between 1 October 2017 and 30 September 2018, will an armed group from Pakistan engage in a campaign that systematically kills 1,000 or more civilians in Pakistan?",Security & Defenses
"Before 30 April 2017, will the U.S. lift sanctions imposed on Russia for cyber activity, the annexation of Crimea, or its actions in Eastern Ukraine?",Politics & Governance
Will an Uber self-driving car with a member of the public as a passenger be involved in an auto accident while driving autonomously between 14 October 2016 and 1 January 2017?,Science & Tech
"Between 1 January 2018 and 31 December 2018, will an armed group from Sudan engage in a campaign that systematically kills 1,000 or more civilians in Sudan?",Politics & Governance
Will Jacob Zuma cease to be president of South Africa before 1 January 2017?,Politics & Governance
Will China execute and/or sponsor a low or higher level cyber attack against networks owned by a US entity between 19 September 2017 and 30 November 2017?,Security & Defenses
"Between 1 April 2018 and 31 March 2019, will an armed group from Nigeria engage in a campaign that systematically kills 1,000 or more civilians in Nigeria?",Security & Defenses
"Between 1 July 2018 and 30 June 2019, will an armed group from Ethiopia engage in a campaign that systematically kills 1,000 or more civilians in Ethiopia?",Politics & Governance
"Before 1 January 2018,  will the United Kingdom and the European Union reach an agreement on payment of the UK's outstanding liabilities to the EU?",Politics & Governance
"Between 1 January 2019 and 31 December 2019, will an armed group from the Central African Republic engage in a campaign that systematically kills 1,000 or more civilians in the Central African Republic?",Politics & Governance
"Between 1 July 2017 and 30 June 2018, will an armed group from the Democratic Republic of the Congo engage in a campaign that systematically kills 1,000 or more civilians in the Democratic Republic of the Congo?",Security & Defenses
"Between 1 April 2018 and 31 March 2019, will an armed group from Yemen engage in a campaign that systematically kills 1,000 or more civilians in Yemen?",Security & Defenses
Will the Centers for Disease Control elevate their travel guidance for Brazil to Warning Level 3 due to the Zika virus before the Olympics begin?,Healthcare & Biology
"Before 2018, will Tesla file for bankruptcy or begin restructuring its debt in a corporate workout?",Economics & Business
"Between 1 April 2018 and 31 March 2019, will an armed group from South Sudan engage in a campaign that systematically kills 1,000 or more civilians in South Sudan?",Politics & Governance
"Between 1 July 2017 and 30 June 2018, will an armed group from Afghanistan engage in a campaign that systematically kills 1,000 or more civilians in Afghanistan?",Security & Defenses
Will there be a new episode of mass killing in Libya before 1 January 2017?,Politics & Governance
Will the EU lift visa requirements for Turkish citizens before July 2016?,Politics & Governance
Will the UN Security Council pass a resolution expanding sanctions on North Korea before 1 June 2016?,Politics & Governance
Will there be a partial or full government shutdown in the United States before the end of the year?,Politics & Governance
Will there be a new episode of mass killing in Turkey before 1 January 2017?,Security & Defenses
"Before 1 January 2018, will Qatar announce that it will cease to export natural gas to any country?",Economics & Business
Will the United Socialist Party of Venezuela (PSUV) maintain its majority in Venezuela's National Assembly after the next legislative elections?,Politics & Governance
"Before 18 October 2016, will there be a confrontation involving Iran's and another country's national military forces that produces at least one fatality in the Persian Gulf, the Strait of Hormuz, or the Gulf of Oman?",Security & Defenses
"Before 1 January 2018, will the European Commission find Google liable in an antitrust case?",Economics & Business
"Before 30 April 2017, will the U.S. suspend immigration from any country designated as a state sponsor of terrorism or a terrorist safe haven?",Politics & Governance
"Between 1 January 2018 and 31 December 2018, will an armed group from Iraq engage in a campaign that systematically kills 1,000 or more civilians in Iraq?",Security & Defenses
"Between 1 October 2017 and 30 September 2018, will an armed group from the Philippines engage in a campaign that systematically kills 1,000 or more civilians in the Philippines?",Security & Defenses
Will China's National People's Congress or its Standing Committee pass a property tax law before 1 October 2019?,Politics & Governance
Will the US federal-funds rate be increased before the end of the year [2015]?,Economics & Business
Will Great Britain announce a second referendum on Brexit by 31 December 2017?,Politics & Governance
"Between 1 April 2018 and 31 March 2019, will an armed group from Zimbabwe engage in a campaign that systematically kills 1,000 or more civilians in Zimbabwe?",Politics & Governance
"Before 1 August 2017, will the US president sign legislation that eliminates or caps the tax exemption on municipal bond interest?",Economics & Business
"Between 1 January 2018 and 31 December 2018, will an armed group from Nigeria engage in a campaign that systematically kills 1,000 or more civilians in Nigeria?",Security & Defenses
Will the U.S. Department of Justice approve AT&T's bid for Time Warner before 1 October 2017?,Economics & Business
"Before 1 March 2019, will the U.S. impose Global Magnitsky Sanctions on any member of Saudi Arabia's Council of Ministers for the death of journalist Jamal Khashoggi?",Politics & Governance
Will President Putin meet with Prime Minister Abe in Japan before 1 July 2016?,Politics & Governance
"Between 1 April 2018 and 31 March 2019, will an armed group from Pakistan engage in a campaign that systematically kills 1,000 or more civilians in Pakistan?",Security & Defenses
"Between 1 April 2017 and 31 March 2018, will an armed group from the Central African Republic engage in a campaign that systematically kills 1,000 or more civilians in the Central African Republic?",Politics & Governance
Will Rex Tillerson be confirmed by the Senate as secretary of state before 30 April 2017?,Politics & Governance
"Before 30 April 2017, will the U.S. provide notice of intent to withdraw from NAFTA?",Politics & Governance
Will there be a new episode of mass killing in Burundi before 1 January 2017?,Politics & Governance
Will there be a new episode of mass killing in Ukraine before 1 January 2017?,Politics & Governance
"Before 1 January 2018, will the European Council announce the opening of formal membership negotiations with any candidate countries or designate any new country as an official candidate for membership?",Politics & Governance
Will Congresswoman Debbie Wasserman Schultz (D-FL) win her 30 August primary race?,Politics & Governance
"Before 1 July 2017, will the US endorse a peace plan which allows Bashar al-Assad to remain in power?",Politics & Governance
Will North Korea conduct a nuclear test before 1 January 2017?,Politics & Governance
"Between 1 January 2018 and 31 December 2018, will an armed group from Zimbabwe engage in a campaign that systematically kills 1,000 or more civilians in Zimbabwe?",Politics & Governance
"Before 1 January 2018, will the Chicago Board Options Exchange's CBOE Volatility Index (VIX) exceed 30?",Economics & Business
Will the EU lift visa requirements for Turkish citizens before the end of 2016?,Politics & Governance
Will Apple sell more than 75 million iPhones in its December quarter?,Economics & Business
Will India and Pakistan both attend a South Asian Association for Regional Cooperation (SAARC) summit before 1 January 2018?,Politics & Governance
Will the United States experience two consecutive quarters of a negative real GDP growth rate in 2019?,Economics & Business
Will at least 400 employers participate as partners in the US Department of Energy’s Workplace Charging Challenge in 2016?,Economics & Business
"Before 1 October 2017, will the FDA approve the sale of a gene-therapy treatment for inherited diseases?",Healthcare & Biology
Will Iran release Jason Rezaian before 31 October 2016?,Politics & Governance
"Will Faraday Future, NextEV, or Atieva start taking orders for electric vehicles in 2016?",Economics & Business
Will Jurassic World (2015) pass Titanic (1997) to become the #2 all-time highest-grossing movie domestically by the end of the year?,Arts & Recreation
